Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,75.35728236117653,27.477919609424877,5.2828986765673935,5.8499999999999996e-2,1.364706533416591e-3,"cx0_1: 2.520e-2, cx0_2: 1.519e-2",Fri Jul 31 2020 04:45:03 GMT-0300 (Horário Padrão de Brasília)
Q1,58.597618438593365,26.300642774712344,5.247680836316879,3.550000000000009e-2,1.4732863649176578e-3,"cx1_0: 2.520e-2, cx1_2: 2.119e-2",Fri Jul 31 2020 04:45:03 GMT-0300 (Horário Padrão de Brasília)
Q2,50.45738504062425,84.9981220232281,5.033838900662404,2.200000000000002e-2,5.124658557153044e-4,"cx2_0: 1.519e-2, cx2_1: 2.119e-2, cx2_3: 1.751e-2, cx2_4: 1.662e-2",Fri Jul 31 2020 04:45:03 GMT-0300 (Horário Padrão de Brasília)
Q3,40.96388797824354,31.3317609171111,5.292250882687831,1.100000000000001e-2,7.589084594564579e-4,"cx3_2: 1.751e-2, cx3_4: 1.705e-2",Fri Jul 31 2020 04:45:03 GMT-0300 (Horário Padrão de Brasília)
Q4,62.264114372492024,40.60041694197054,5.078474816629947,3.249999999999997e-2,7.482200253573955e-4,"cx4_2: 1.662e-2, cx4_3: 1.705e-2",Fri Jul 31 2020 04:45:03 GMT-0300 (Horário Padrão de Brasília)
